VEMCO DATA LOG,2.0.0,fathom_connect-4.8.3-20260311-ba0e57-release,vdatapi-14.12.8-20260311-ac77b9-release,,,,,,,,,,,,,,,,,,,,,,
RECORD TYPE,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD
ATTITUDE_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Tilt (deg),,,,,,,,,,,,,,,,,,
CLOCK_REF_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,External Time (UTC),External Difference (s),Source,,,,,,,,,,,,,,,,
CLOCK_SET_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Prior Device Time (UTC),Prior Difference (s),Source,,,,,,,,,,,,,,,,
DATA_ERROR_DESC,Type,Error,Page,Offset,Description,,,,,,,,,,,,,,,,,,,,
DATA_SOURCE_FILE_DESC,File Name,UUID,Type,Size,State,,,,,,,,,,,,,,,,,,,,
DEPTH_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Depth (m),,,,,,,,,,,,,,,,,,
DEPTH_STATS_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Depth Min (m),Depth Max (m),Depth Mean (m),Sample Count,Accumulation Period (s),,,,,,,,,,,,,,
TEMP_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Ambient (deg C),Internal (deg C),,,,,,,,,,,,,,,,,
TEMP_STATS_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Ambient Min (deg C),Ambient Max (deg C),Ambient Mean (deg C),Sample Count,Accumulation Period (s),,,,,,,,,,,,,,
DATA_SOURCE_FILE,VR2AR-69 555438 2026-01-20 103659.vdat,d0d7fc34-0ef2-4e68-9677-21e3e4e88413,com.vemco.file.vrdp.vr2ar/1.0.0,143490,ORIGINAL,,,,,,,,,,,,,,,,,,,,
CLOCK_REF,2019-05-29 17:43,2019-10-29 17:43,,0,VR2AR-69,555438,2024-11-06 17:43,0,INITIALIZATION,,,,,,,,,,,,,,,,
TEMP,2019-05-29 18:00,00:00.0,,-0.004835365,VR2AR-69,555438,17.568,,,,,,,,,,,,,,,,,,
DEPTH,2019-05-29 18:00,00:00.0,,-0.004835365,VR2AR-69,555438,0,,,,,,,,,,,,,,,,,,
ATTITUDE,2019-05-29 18:00,00:00.0,,-0.004835365,VR2AR-69,555438,85,,,,,,,,,,,,,,,,,,
TEMP,2019-05-30 19:00,00:00.0,,-0.022454103,VR2AR-69,555438,17.282,,,,,,,,,,,,,,,,,,
DEPTH,2019-05-30 19:00,00:00.0,,-0.022454103,VR2AR-69,555438,0,,,,,,,,,,,,,,,,,,
ATTITUDE,2019-05-30 19:00,00:00.0,,-0.022454103,VR2AR-69,555438,83,,,,,,,,,,,,,,,,,,
TEMP,2019-05-30 4:00,59:59.8,,-0.181022741,VR2AR-69,555438,16.433,,,,,,,,,,,,,,,,,,
DEPTH,2019-05-30 4:00,59:59.8,,-0.181022741,VR2AR-69,555438,0,,,,,,,,,,,,,,,,,,
ATTITUDE,2019-05-30 4:00,59:59.8,,-0.181022741,VR2AR-69,555438,84,,,,,,,,,,,,,,,,,,
TEMP,2019-10-30 5:00,59:59.8,,-0.198641479,VR2AR-69,555438,16.389,,,,,,,,,,,,,,,,,,
DEPTH,2019-10-30 5:00,59:59.8,,-0.198641479,VR2AR-69,555438,0,,,,,,,,,,,,,,,,,,
ATTITUDE,2019-10-30 5:00,59:59.8,,-0.198641479,VR2AR-69,555438,83,,,,,,,,,,,,,,,,,,
TEMP,2019-10-30 6:00,59:59.8,,-0.216260217,VR2AR-69,555438,16.346,,,,,,,,,,,,,,,,,,
DEPTH,2019-10-30 6:00,59:59.8,,-0.216260217,VR2AR-69,555438,0,,,,,,,,,,,,,,,,,,
ATTITUDE,2019-10-30 6:00,59:59.8,,-0.216260217,VR2AR-69,555438,83,,,,,,,,,,,,,,,,,,
TEMP,2019-10-19 7:00,59:59.8,,-0.233878954,VR2AR-69,555438,16.303,,,,,,,,,,,,,,,,,,
