VEMCO DATA LOG,2.0.0,fathom_connect-4.8.3-20260311-ba0e57-release,vdatapi-14.12.8-20260311-ac77b9-release,,,,,,,,,,,,,,,,,,,,,,
RECORD TYPE,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD
ATTITUDE_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Tilt (deg),,,,,,,,,,,,,,,,,,
CLOCK_REF_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,External Time (UTC),External Difference (s),Source,,,,,,,,,,,,,,,,
CLOCK_SET_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Prior Device Time (UTC),Prior Difference (s),Source,,,,,,,,,,,,,,,,
DATA_ERROR_DESC,Type,Error,Page,Offset,Description,,,,,,,,,,,,,,,,,,,,
DATA_SOURCE_FILE_DESC,File Name,UUID,Type,Size,State,,,,,,,,,,,,,,,,,,,,
DEPTH_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Depth (m),,,,,,,,,,,,,,,,,,
DEPTH_STATS_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Depth Min (m),Depth Max (m),Depth Mean (m),Sample Count,Accumulation Period (s),,,,,,,,,,,,,,
TEMP_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Ambient (deg C),Internal (deg C),,,,,,,,,,,,,,,,,
TEMP_STATS_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Ambient Min (deg C),Ambient Max (deg C),Ambient Mean (deg C),Sample Count,Accumulation Period (s),,,,,,,,,,,,,,
DATA_SOURCE_FILE,VR2AR-69 555438 2026-01-20 103659.vdat,d0d7fc34-0ef2-4e68-9677-21e3e4e88413,com.vemco.file.vrdp.vr2ar/1.0.0,143490,ORIGINAL,,,,,,,,,,,,,,,,,,,,
CLOCK_REF,2024-11-06 17:43,2024-11-06 17:43,,0,VR2AR-69,555438,2024-11-06 17:43,0,INITIALIZATION,,,,,,,,,,,,,,,,
TEMP,2024-11-06 18:00,00:00.0,,-0.004835365,VR2AR-69,555438,17.568,,,,,,,,,,,,,,,,,,
DEPTH,2024-11-06 18:00,00:00.0,,-0.004835365,VR2AR-69,555438,0,,,,,,,,,,,,,,,,,,
ATTITUDE,2024-11-06 18:00,00:00.0,,-0.004835365,VR2AR-69,555438,85,,,,,,,,,,,,,,,,,,
TEMP,2024-11-06 19:00,00:00.0,,-0.022454103,VR2AR-69,555438,17.282,,,,,,,,,,,,,,,,,,
DEPTH,2024-11-06 19:00,00:00.0,,-0.022454103,VR2AR-69,555438,0,,,,,,,,,,,,,,,,,,
ATTITUDE,2024-11-06 19:00,00:00.0,,-0.022454103,VR2AR-69,555438,83,,,,,,,,,,,,,,,,,,
TEMP,2024-11-06 20:00,00:00.0,,-0.04007284,VR2AR-69,555438,16.933,,,,,,,,,,,,,,,,,,
DEPTH,2024-11-06 20:00,00:00.0,,-0.04007284,VR2AR-69,555438,0,,,,,,,,,,,,,,,,,,
ATTITUDE,2024-11-06 20:00,00:00.0,,-0.04007284,VR2AR-69,555438,84,,,,,,,,,,,,,,,,,,
TEMP,2024-11-06 21:00,59:59.9,,-0.057691578,VR2AR-69,555438,16.715,,,,,,,,,,,,,,,,,,
DEPTH,2024-11-06 21:00,59:59.9,,-0.057691578,VR2AR-69,555438,0,,,,,,,,,,,,,,,,,,
ATTITUDE,2024-11-06 21:00,59:59.9,,-0.057691578,VR2AR-69,555438,84,,,,,,,,,,,,,,,,,,
TEMP,2024-11-06 22:00,59:59.9,,-0.075310316,VR2AR-69,555438,16.606,,,,,,,,,,,,,,,,,,
DEPTH,2024-11-06 22:00,59:59.9,,-0.075310316,VR2AR-69,555438,0,,,,,,,,,,,,,,,,,,
ATTITUDE,2024-11-06 22:00,59:59.9,,-0.075310316,VR2AR-69,555438,83,,,,,,,,,,,,,,,,,,
TEMP,2024-11-06 23:00,59:59.9,,-0.092929053,VR2AR-69,555438,16.541,,,,,,,,,,,,,,,,,,
